outcome_descr,brand_descr,stratum,model,model_descr,term,HR,HR_CI,VE,VE_CI,HR_ECI,VE_ECI,diff,diff_CI,diff_ECI
"COVID-19
hospitalisation",BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",8-14,0.29,(0.21-0.41), 70.7,(58.7-79.2),0.29 (0.21-0.41), 70.7 (58.7-79.2),0.09,(-0.27-0.44),0.09 (-0.27-0.44)
"COVID-19
hospitalisation",BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",15-21,0.21,(0.14-0.32), 79.2,(68.3-86.4),0.21 (0.14-0.32), 79.2 (68.3-86.4),-0.04,(-0.48-0.40),-0.04 (-0.48-0.40)
"COVID-19
hospitalisation",BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",22-28,0.12,(0.06-0.22), 88.4,(77.6-94.0),0.12 (0.06-0.22), 88.4 (77.6-94.0),-0.51,(-1.18-0.17),-0.51 (-1.18-0.17)
"COVID-19
hospitalisation",BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",29-35,0.23,(0.14-0.39), 76.9,(60.6-86.5),0.23 (0.14-0.39), 76.9 (60.6-86.5),0.43,(-0.14-1.00),0.43 (-0.14-1.00)
"COVID-19
hospitalisation",BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",36+,0.18,(0.12-0.28), 81.5,(71.8-87.9),0.18 (0.12-0.28), 81.5 (71.8-87.9),0.10,(-0.34-0.55),0.10 (-0.34-0.55)
"COVID-19
hospitalisation",BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.25,(0.14-0.44), 75.1,(55.8-86.0),0.25 (0.14-0.44), 75.1 (55.8-86.0),0.22,(-0.38-0.83),0.22 (-0.38-0.83)
"COVID-19
hospitalisation",BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.32,(0.20-0.49), 68.3,(50.6-79.6),0.32 (0.20-0.49), 68.3 (50.6-79.6),0.05,(-0.41-0.52),0.05 (-0.41-0.52)
"COVID-19
hospitalisation",BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.32,(0.23-0.46), 67.6,(54.5-76.9),0.32 (0.23-0.46), 67.6 (54.5-76.9),0.07,(-0.29-0.43),0.07 (-0.29-0.43)
"COVID-19
hospitalisation",BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.23,(0.15-0.35), 76.9,(64.9-84.8),0.23 (0.15-0.35), 76.9 (64.9-84.8),-0.05,(-0.49-0.38),-0.05 (-0.49-0.38)
"COVID-19
hospitalisation",BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.13,(0.07-0.25), 86.9,(74.9-93.2),0.13 (0.07-0.25), 86.9 (74.9-93.2),-0.52,(-1.19-0.15),-0.52 (-1.19-0.15)
"COVID-19
hospitalisation",BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.26,(0.15-0.44), 74.1,(55.7-84.8),0.26 (0.15-0.44), 74.1 (55.7-84.8),0.42,(-0.15-0.99),0.42 (-0.15-0.99)
"COVID-19
hospitalisation",BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.21,(0.13-0.31), 79.5,(68.6-86.6),0.21 (0.13-0.31), 79.5 (68.6-86.6),0.11,(-0.34-0.56),0.11 (-0.34-0.56)
"COVID-19
hospitalisation",BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.27,(0.15-0.49), 72.9,(51.0-85.0),0.27 (0.15-0.49), 72.9 (51.0-85.0),0.21,(-0.42-0.83),0.21 (-0.42-0.83)
"COVID-19
hospitalisation",BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.33,(0.21-0.51), 67.0,(48.7-78.8),0.33 (0.21-0.51), 67.0 (48.7-78.8),0.01,(-0.46-0.47),0.01 (-0.46-0.47)
"COVID-19
hospitalisation",BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.35,(0.25-0.49), 65.0,(50.6-75.2),0.35 (0.25-0.49), 65.0 (50.6-75.2),0.06,(-0.30-0.42),0.06 (-0.30-0.42)
"COVID-19
hospitalisation",BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.27,(0.17-0.41), 73.4,(59.4-82.6),0.27 (0.17-0.41), 73.4 (59.4-82.6),0.02,(-0.42-0.46),0.02 (-0.42-0.46)
"COVID-19
hospitalisation",BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.14,(0.07-0.27), 86.0,(72.9-92.7),0.14 (0.07-0.27), 86.0 (72.9-92.7),-0.55,(-1.22-0.13),-0.55 (-1.22-0.13)
"COVID-19
hospitalisation",BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.27,(0.16-0.47), 72.8,(53.2-84.2),0.27 (0.16-0.47), 72.8 (53.2-84.2),0.35,(-0.23-0.93),0.35 (-0.23-0.93)
"COVID-19
hospitalisation",BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.23,(0.15-0.35), 77.4,(64.8-85.4),0.23 (0.15-0.35), 77.4 (64.8-85.4),0.08,(-0.38-0.55),0.08 (-0.38-0.55)
"COVID-19
hospitalisation",ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",1-3,0.49,(0.40-0.59), 51.1,(40.7-59.6),0.49 (0.40-0.59), 51.1 (40.7-59.6),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",4-7,0.39,(0.32-0.47), 61.3,(53.1-68.0),0.39 (0.32-0.47), 61.3 (53.1-68.0),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",8-14,0.33,(0.28-0.39), 67.0,(60.8-72.2),0.33 (0.28-0.39), 67.0 (60.8-72.2),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",15-21,0.28,(0.23-0.35), 71.7,(65.2-77.0),0.28 (0.23-0.35), 71.7 (65.2-77.0),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",22-28,0.25,(0.20-0.32), 75.0,(67.9-80.5),0.25 (0.20-0.32), 75.0 (67.9-80.5),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",29-35,0.22,(0.16-0.30), 77.9,(69.9-83.7),0.22 (0.16-0.30), 77.9 (69.9-83.7),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",36+,0.26,(0.20-0.33), 74.5,(67.1-80.2),0.26 (0.20-0.33), 74.5 (67.1-80.2),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.49,(0.40-0.59), 51.0,(40.7-59.6),0.49 (0.40-0.59), 51.0 (40.7-59.6),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.39,(0.32-0.48), 60.7,(52.4-67.5),0.39 (0.32-0.48), 60.7 (52.4-67.5),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.34,(0.29-0.40), 66.0,(59.6-71.4),0.34 (0.29-0.40), 66.0 (59.6-71.4),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.29,(0.24-0.36), 70.5,(63.8-76.0),0.29 (0.24-0.36), 70.5 (63.8-76.0),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.26,(0.20-0.34), 73.9,(66.5-79.6),0.26 (0.20-0.34), 73.9 (66.5-79.6),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.23,(0.17-0.32), 76.8,(68.5-82.9),0.23 (0.17-0.32), 76.8 (68.5-82.9),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.27,(0.21-0.35), 73.0,(65.1-79.0),0.27 (0.21-0.35), 73.0 (65.1-79.0),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.53,(0.42-0.67), 46.6,(32.5-57.8),0.53 (0.42-0.67), 46.6 (32.5-57.8),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.41,(0.34-0.50), 59.1,(50.0-66.5),0.41 (0.34-0.50), 59.1 (50.0-66.5),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.40,(0.33-0.48), 60.3,(52.5-66.9),0.40 (0.33-0.48), 60.3 (52.5-66.9),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.34,(0.27-0.41), 66.4,(58.5-72.8),0.34 (0.27-0.41), 66.4 (58.5-72.8),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.32,(0.24-0.43), 67.8,(56.8-76.0),0.32 (0.24-0.43), 67.8 (56.8-76.0),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.27,(0.20-0.37), 73.2,(63.4-80.4),0.27 (0.20-0.37), 73.2 (63.4-80.4),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.30,(0.23-0.40), 69.6,(60.4-76.6),0.30 (0.23-0.40), 69.6 (60.4-76.6),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",1-3,0.39,(0.19-0.79), 61.2,(20.9-81.0),0.39 (0.19-0.79), 61.2 (20.9-81.0),-0.23,(-0.97-0.51),-0.23 (-0.97-0.51)
"COVID-19
hospitalisation",ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",4-7,0.60,(0.35-1.02), 40.3,(-1.9-65.1),0.60 (0.35-1.02), 40.3 (-1.9-65.1),0.43,(-0.14-1.00),0.43 (-0.14-1.00)
"COVID-19
hospitalisation",ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",8-14,0.28,(0.15-0.51), 72.1,(48.7-84.8),0.28 (0.15-0.51), 72.1 (48.7-84.8),-0.17,(-0.80-0.47),-0.17 (-0.80-0.47)
"COVID-19
hospitalisation",ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",15-21,0.38,(0.21-0.68), 62.2,(31.6-79.1),0.38 (0.21-0.68), 62.2 (31.6-79.1),0.29,(-0.34-0.92),0.29 (-0.34-0.92)
"COVID-19
hospitalisation",ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",22-28,0.16,(0.06-0.40), 84.3,(60.0-93.8),0.16 (0.06-0.40), 84.3 (60.0-93.8),-0.46,(-1.43-0.50),-0.46 (-1.43-0.50)
"COVID-19
hospitalisation",ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",29-35,0.10,(0.03-0.34), 89.5,(65.7-96.8),0.10 (0.03-0.34), 89.5 (65.7-96.8),-0.75,(-1.97-0.48),-0.75 (-1.97-0.48)
"COVID-19
hospitalisation",ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",36+,0.08,(0.03-0.20), 92.0,(79.6-96.8),0.08 (0.03-0.20), 92.0 (79.6-96.8),-1.15,(-2.12--0.19),-1.15 (-2.12--0.19)
"COVID-19
hospitalisation",ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.39,(0.19-0.80), 60.6,(19.6-80.7),0.39 (0.19-0.80), 60.6 (19.6-80.7),-0.22,(-0.96-0.52),-0.22 (-0.96-0.52)
"COVID-19
hospitalisation",ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.61,(0.36-1.05), 38.7,(-4.7-64.1),0.61 (0.36-1.05), 38.7 (-4.7-64.1),0.44,(-0.12-1.01),0.44 (-0.12-1.01)
"COVID-19
hospitalisation",ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.29,(0.16-0.53), 71.0,(46.6-84.3),0.29 (0.16-0.53), 71.0 (46.6-84.3),-0.16,(-0.79-0.47),-0.16 (-0.79-0.47)
"COVID-19
hospitalisation",ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.39,(0.22-0.71), 60.6,(28.9-78.2),0.39 (0.22-0.71), 60.6 (28.9-78.2),0.29,(-0.34-0.92),0.29 (-0.34-0.92)
"COVID-19
hospitalisation",ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.16,(0.06-0.41), 83.8,(58.9-93.6),0.16 (0.06-0.41), 83.8 (58.9-93.6),-0.48,(-1.44-0.49),-0.48 (-1.44-0.49)
"COVID-19
hospitalisation",ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.11,(0.03-0.35), 89.2,(64.8-96.7),0.11 (0.03-0.35), 89.2 (64.8-96.7),-0.76,(-1.98-0.46),-0.76 (-1.98-0.46)
"COVID-19
hospitalisation",ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.08,(0.03-0.21), 91.6,(78.5-96.7),0.08 (0.03-0.21), 91.6 (78.5-96.7),-1.17,(-2.14--0.20),-1.17 (-2.14--0.20)
"COVID-19
hospitalisation",ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.43,(0.21-0.89), 56.6,(11.4-78.7),0.43 (0.21-0.89), 56.6 (11.4-78.7),-0.21,(-0.96-0.54),-0.21 (-0.96-0.54)
"COVID-19
hospitalisation",ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.62,(0.36-1.07), 37.6,(-7.3-63.7),0.62 (0.36-1.07), 37.6 (-7.3-63.7),0.42,(-0.15-1.00),0.42 (-0.15-1.00)
"COVID-19
hospitalisation",ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.31,(0.17-0.58), 68.7,(42.2-83.1),0.31 (0.17-0.58), 68.7 (42.2-83.1),-0.24,(-0.88-0.40),-0.24 (-0.88-0.40)
"COVID-19
hospitalisation",ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.41,(0.22-0.74), 59.4,(25.6-77.9),0.41 (0.22-0.74), 59.4 (25.6-77.9),0.19,(-0.45-0.83),0.19 (-0.45-0.83)
"COVID-19
hospitalisation",ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.18,(0.07-0.47), 81.6,(53.1-92.8),0.18 (0.07-0.47), 81.6 (53.1-92.8),-0.56,(-1.54-0.42),-0.56 (-1.54-0.42)
"COVID-19
hospitalisation",ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.11,(0.03-0.37), 89.0,(63.5-96.7),0.11 (0.03-0.37), 89.0 (63.5-96.7),-0.89,(-2.12-0.35),-0.89 (-2.12-0.35)
"COVID-19
hospitalisation",ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.10,(0.04-0.24), 90.5,(75.8-96.3),0.10 (0.04-0.24), 90.5 (75.8-96.3),-1.16,(-2.13--0.19),-1.16 (-2.13--0.19)
COVID-19 death,Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",1-3,0.01,(0.00-0.02), 99.5,(98.4-99.8),0.01 (0.00-0.02), 99.5 (98.4-99.8),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",4-7,0.01,(0.00-0.02), 99.1,(98.3-99.6),0.01 (0.00-0.02), 99.1 (98.3-99.6),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",8-14,0.01,(0.01-0.02), 98.9,(98.3-99.3),0.01 (0.01-0.02), 98.9 (98.3-99.3),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",15-21,0.01,(0.01-0.02), 98.8,(98.2-99.1),0.01 (0.01-0.02), 98.8 (98.2-99.1),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",22-28,0.01,(0.00-0.01), 99.2,(98.7-99.5),0.01 (0.00-0.01), 99.2 (98.7-99.5),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",29-35,0.00,(0.00-0.01), 99.5,(99.1-99.8),0.00 (0.00-0.01), 99.5 (99.1-99.8),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",36+,0.00,(0.00-0.01), 99.7,(99.5-99.8),0.00 (0.00-0.01), 99.7 (99.5-99.8),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.01,(0.00-0.02), 99.5,(98.3-99.8),0.01 (0.00-0.02), 99.5 (98.3-99.8),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.01,(0.00-0.02), 99.1,(98.1-99.5),0.01 (0.00-0.02), 99.1 (98.1-99.5),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.01,(0.01-0.02), 98.8,(98.1-99.2),0.01 (0.01-0.02), 98.8 (98.1-99.2),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.01,(0.01-0.02), 98.6,(98.0-99.0),0.01 (0.01-0.02), 98.6 (98.0-99.0),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.01,(0.01-0.01), 99.1,(98.5-99.4),0.01 (0.01-0.01), 99.1 (98.5-99.4),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.01,(0.00-0.01), 99.5,(99.0-99.7),0.01 (0.00-0.01), 99.5 (99.0-99.7),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.00,(0.00-0.01), 99.7,(99.4-99.8),0.00 (0.00-0.01), 99.7 (99.4-99.8),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.01,(0.00-0.02), 99.4,(98.3-99.8),0.01 (0.00-0.02), 99.4 (98.3-99.8),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.01,(0.01-0.02), 99.0,(97.9-99.5),0.01 (0.01-0.02), 99.0 (97.9-99.5),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.01,(0.01-0.02), 98.5,(97.7-99.0),0.01 (0.01-0.02), 98.5 (97.7-99.0),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.01,(0.01-0.02), 98.5,(97.8-99.0),0.01 (0.01-0.02), 98.5 (97.8-99.0),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.01,(0.01-0.02), 99.0,(98.4-99.4),0.01 (0.01-0.02), 99.0 (98.4-99.4),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.01,(0.00-0.01), 99.4,(98.8-99.7),0.01 (0.00-0.01), 99.4 (98.8-99.7),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.00,(0.00-0.01), 99.6,(99.4-99.8),0.00 (0.00-0.01), 99.6 (99.4-99.8),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",1-3,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0),-10.44,(-11.58--9.30),-10.44 (-11.58--9.30)
COVID-19 death,Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",4-7,0.01,(0.00-0.07), 99.1,(93.3-99.9),0.01 (0.00-0.07), 99.1 (93.3-99.9),0.08,(-2.00-2.16),0.08 (-2.00-2.16)
COVID-19 death,Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",8-14,0.01,(0.00-0.03), 99.1,(96.5-99.8),0.01 (0.00-0.03), 99.1 (96.5-99.8),-0.26,(-1.71-1.19),-0.26 (-1.71-1.19)
COVID-19 death,Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",15-21,0.02,(0.01-0.05), 98.1,(95.4-99.2),0.02 (0.01-0.05), 98.1 (95.4-99.2),0.42,(-0.55-1.39),0.42 (-0.55-1.39)
COVID-19 death,Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",22-28,0.00,(0.00-0.03), 99.6,(97.1-99.9),0.00 (0.00-0.03), 99.6 (97.1-99.9),-0.68,(-2.71-1.35),-0.68 (-2.71-1.35)
COVID-19 death,Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",29-35,0.01,(0.00-0.04), 99.0,(96.1-99.8),0.01 (0.00-0.04), 99.0 (96.1-99.8),0.70,(-0.85-2.25),0.70 (-0.85-2.25)
COVID-19 death,Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",36+,0.00,(0.00-0.01), 99.8,(98.6-100.0),0.00 (0.00-0.01), 99.8 (98.6-100.0),-0.44,(-2.47-1.58),-0.44 (-2.47-1.58)
COVID-19 death,Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0),-10.39,(-11.53--9.26),-10.39 (-11.53--9.26)
COVID-19 death,Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.01,(0.00-0.07), 99.0,(92.8-99.9),0.01 (0.00-0.07), 99.0 (92.8-99.9),0.07,(-2.01-2.16),0.07 (-2.01-2.16)
COVID-19 death,Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.01,(0.00-0.04), 99.0,(96.2-99.8),0.01 (0.00-0.04), 99.0 (96.2-99.8),-0.26,(-1.72-1.19),-0.26 (-1.72-1.19)
COVID-19 death,Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.02,(0.01-0.05), 97.9,(94.8-99.1),0.02 (0.01-0.05), 97.9 (94.8-99.1),0.42,(-0.56-1.39),0.42 (-0.56-1.39)
COVID-19 death,Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.00,(0.00-0.03), 99.5,(96.7-99.9),0.00 (0.00-0.03), 99.5 (96.7-99.9),-0.68,(-2.72-1.35),-0.68 (-2.72-1.35)
COVID-19 death,Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.01,(0.00-0.04), 98.9,(95.6-99.7),0.01 (0.00-0.04), 98.9 (95.6-99.7),0.69,(-0.86-2.24),0.69 (-0.86-2.24)
COVID-19 death,Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.00,(0.00-0.02), 99.8,(98.4-100.0),0.00 (0.00-0.02), 99.8 (98.4-100.0),-0.45,(-2.48-1.58),-0.45 (-2.48-1.58)
COVID-19 death,Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0),-10.39,(-11.53--9.25),-10.39 (-11.53--9.25)
COVID-19 death,Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.01,(0.00-0.07), 99.0,(92.6-99.9),0.01 (0.00-0.07), 99.0 (92.6-99.9),0.00,(-2.09-2.09),0.00 (-2.09-2.09)
